Brand,Model,category,source,sourceType,sourceId
Samsung,HW-MS650/ZA," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM9214-A   ," Sound Bars",Fry's Electronics,retailer,1
JBL,ARENA125CWH," Sound Bars",Fry's Electronics,retailer,1
Bose,767520-1100," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-N700/ZA ," Sound Bars",Fry's Electronics,retailer,1
Bose,760093-1110," Sound Bars",Fry's Electronics,retailer,1
Bose,768973-1110," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-K950/ZA ," Sound Bars",Fry's Electronics,retailer,1
Onkyo,TXNR585,Portable DVD Player,Fry's Electronics,retailer,1
Sony,STRDN1080,Portable DVD Player,Fry's Electronics,retailer,1
Yamaha,RX-A870BL,Portable DVD Player,Fry's Electronics,retailer,1
Denon,AVRX2400H,Portable DVD Player,Fry's Electronics,retailer,1
Onkyo,TX-RZ3100,Portable DVD Player,Fry's Electronics,retailer,1
Pioneer,VSXLX303,Portable DVD Player,Fry's Electronics,retailer,1
Onkyo,TXNR787,Portable DVD Player,Fry's Electronics,retailer,1
Denon,AVRX2500H,Portable DVD Player,Fry's Electronics,retailer,1
Denon,AVRS940H,Portable DVD Player,Fry's Electronics,retailer,1
Denon,AVRX1500H,Portable DVD Player,Fry's Electronics,retailer,1
Yamaha,RX-V685BL,Portable DVD Player,Fry's Electronics,retailer,1
Pioneer,VSXLX103,Portable DVD Player,Fry's Electronics,retailer,1
Harman Kardon,HK 3700,Portable DVD Player,Fry's Electronics,retailer,1
Harman Kardon,HK 3770,Portable DVD Player,Fry's Electronics,retailer,1
Pioneer,VSXLX502,Portable DVD Player,Fry's Electronics,retailer,1
Onkyo,TXNR686,Portable DVD Player,Fry's Electronics,retailer,1
Yamaha,R-N602BL,Portable DVD Player,Fry's Electronics,retailer,1
ELAC,DS-S101,Portable DVD Player,Fry's Electronics,retailer,1
Onkyo,TX-RZ1100,Portable DVD Player,Fry's Electronics,retailer,1
Denon,AVRS740H,Portable DVD Player,Fry's Electronics,retailer,1
Atyme,490AM7UD,Televisions,Fry's Electronics,retailer,1
Samsung,UN65JS9500FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN55F6300AFXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN55F6400AFXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN50JU6500FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN60J6200,Televisions,Fry's Electronics,retailer,1
Samsung,UN55JU6500FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN55JU6700FXZA,Televisions,Fry's Electronics,retailer,1
Panasonic,TC-65CX400U,Televisions,Fry's Electronics,retailer,1
Samsung,UN65F7100AFXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN40JU7500FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN40EH5300FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN32EH4003,Televisions,Fry's Electronics,retailer,1
TCL,TCL LE48FHDF3310,Televisions,Fry's Electronics,retailer,1
Samsung,UN65F9000FXZA,Televisions,Fry's Electronics,retailer,1
Sony,XBR65X930D,Televisions,Fry's Electronics,retailer,1
LG,55UB8500,Televisions,Fry's Electronics,retailer,1
Samsung,UN55KU6500,Televisions,Fry's Electronics,retailer,1
Samsung,RBUN55JU650DFXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN40JU6400,Televisions,Fry's Electronics,retailer,1
LG,43LJ5000,Televisions,Fry's Electronics,retailer,1
Proscan,PLDED3231A-RR,Televisions,Fry's Electronics,retailer,1
Sanyo,DP24E14B,Televisions,Fry's Electronics,retailer,1
TCL,23F3300,Televisions,Fry's Electronics,retailer,1
Element,ELEFW195,Televisions,Fry's Electronics,retailer,1
RCA,LED32G30RQD,Televisions,Fry's Electronics,retailer,1
Samsung,SAMSUNG UN39FH5000,Televisions,Fry's Electronics,retailer,1
RCA,LED32C45RQ,Televisions,Fry's Electronics,retailer,1
Samsung,UN40JU6500FXZA,Televisions,Fry's Electronics,retailer,1
LG,55LH5750,Televisions,Fry's Electronics,retailer,1
RCA,LED60B55R120Q,Televisions,Fry's Electronics,retailer,1
LG,65UH6030,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KS8000FXZA,Televisions,Fry's Electronics,retailer,1
Sony,XBR55X930D,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KS8500FXZA,Televisions,Fry's Electronics,retailer,1
